IP_INDEX,IP_LABEL,RECORDING_SESSION_LABEL,INDEX,BLINK_COUNT,TRIAL_LABEL,block,coloridentifier,conditionidentifier,imagefile,quantidentifier,practicestatus,IP_START_TIME,PUPIL_SIZE_MAX,PUPIL_SIZE_MEAN,PUPIL_SIZE_MAX_TIME,PUPIL_SIZE_MAX_X,PUPIL_SIZE_MAX_Y,REACTION_TIME,PUPIL_SIZE_MIN,PUPIL_SIZE_MIN_TIME,PUPIL_SIZE_MIN_X,PUPIL_SIZE_MIN_Y,correctresponse,ACCURACY,KEY_PRESSED,RT,audiopred
2,Image,subj2,97,0,Trial: 97,2,blue,F,4_blue_12_yellow.jpg,most_3,experimental,20044240,1376,1276.89,20045988,472.8,362.9,.,1193,20047398,692.9,277.6,f,1,f,3703,are_blue.wav
2,Image,subj2,98,0,Trial: 98,2,blue,F,0_blue_16_yellow.jpg,Some,experimental,20061921,1227,1052.66,20063436,539.4,259.8,.,956,20062492,612.9,133.9,f,1,f,1552,are_blue.wav
2,Image,subj2,99,0,Trial: 99,2,blue,F,6_blue_10_yellow.jpg,All,experimental,20075971,1194,1006.74,20077528,524.2,438,.,848,20076168,505.6,319.7,f,1,f,1585,are_blue.wav
2,Image,subj2,100,0,Trial: 100,2,blue,F,3_blue_13_yellow.jpg,more_than_half,experimental,20093769,1197,1128.94,20093862,506.9,375.4,.,1096,20094262,596.1,335.8,f,1,f,807,are_blue.wav
2,Image,subj2,101,0,Trial: 101,2,yellow,F,11_blue_5_yellow.jpg,even,experimental,20111215,1211,1062.94,20113192,602.7,335.5,.,965,20111466,496.9,399.8,f,1,f,2007,are_yellow.wav
2,Image,subj2,102,0,Trial: 102,2,blue,F,6_blue_10_yellow.jpg,No,experimental,20125315,1038,939.49,20126414,408.8,435.4,.,899,20125584,494,389.3,f,1,f,1098,are_blue.wav
2,Image,subj2,103,0,Trial: 103,2,yellow,F,13_blue_3_yellow.jpg,Most,experimental,20139166,1051,916.92,20140620,605.8,507.4,.,758,20139594,496.1,289.1,f,1,f,1559,are_yellow.wav
2,Image,subj2,104,1,Trial: 104,2,yellow,F,7_blue_9_yellow.jpg,least_10,experimental,20153785,1276,1153.79,20158028,540.5,421.1,.,756,20160350,660.2,792.4,f,1,f,7317,are_yellow.wav
2,Image,subj2,105,0,Trial: 105,2,yellow,T,4_blue_12_yellow.jpg,even,experimental,20173690,1288,1067.99,20178758,416.2,285.5,.,717,20173776,444.5,308.5,j,1,j,5477,are_yellow.wav
2,Image,subj2,106,0,Trial: 106,2,blue,T,0_blue_16_yellow.jpg,No,experimental,20192174,1101,994.5,20193344,662.1,283.4,.,945,20192208,420.7,366.8,j,1,j,1169,are_blue.wav
2,Image,subj2,107,0,Trial: 107,2,yellow,T,14_blue_2_yellow.jpg,Some,experimental,20205706,1275,1127.68,20209324,599.6,519.1,.,868,20205716,523.5,416.6,j,1,j,3703,are_yellow.wav
2,Image,subj2,108,0,Trial: 108,2,yellow,T,5_blue_11_yellow.jpg,more_than_half,experimental,20223018,1111,949.31,20224346,519.1,248.4,.,798,20223018,510.9,323.6,j,1,j,1381,are_yellow.wav
